    x:          approx:          exact:            relative error(log10)
     0.24200000     0.67581453     0.66908937     -1.9977814
     0.24300000     0.67568982     0.66897420     -1.9983234
     0.24400000     0.67555630     0.66885023     -1.9988606
     0.24500000     0.67541407     0.66871754     -1.9993929
     0.24600000     0.67526320     0.66857622     -1.9999205
     0.24700000     0.67510380     0.66842635     -2.0004434
     0.24800000     0.67493593     0.66826803     -2.0009617
     0.24900000     0.67475969     0.66810134     -2.0014754
     0.25000000     0.67457516     0.66792635     -2.0019845
     0.25100000     0.67438242     0.66774316     -2.0024892
     0.25200000     0.67418156     0.66755183     -2.0029895
     0.25300000     0.67397265     0.66735247     -2.0034853
     0.25400000     0.67375577     0.66714513     -2.0039769
     0.25500000     0.67353101     0.66692991     -2.0044642
     0.25600000     0.67329843     0.66670688     -2.0049472
     0.25700000     0.67305813     0.66647612     -2.0054261
     0.25800000     0.67281018     0.66623771     -2.0059008
     0.25900000     0.67255464     0.66599172     -2.0063714
     0.26000000     0.67229161     0.66573823     -2.0068380
     0.26100000     0.67202114     0.66547731     -2.0073007
     0.26200000     0.67174333     0.66520903     -2.0077593
     0.26300000     0.67145823     0.66493348     -2.0082141
     0.26400000     0.67116593     0.66465072     -2.0086650
     0.26500000     0.67086649     0.66436082     -2.0091121
     0.26600000     0.67055998     0.66406385     -2.0095554
     0.26700000     0.67024648     0.66375990     -2.0099950
     0.26800000     0.66992605     0.66344901     -2.0104309
     0.26900000     0.66959877     0.66313127     -2.0108631
     0.27000000     0.66926470     0.66280675     -2.0112917
     0.27100000     0.66892391     0.66247550     -2.0117168
     0.27200000     0.66857647     0.66213759     -2.0121384
     0.27300000     0.66822244     0.66179310     -2.0125564
     0.27400000     0.66786188     0.66144209     -2.0129711
     0.27500000     0.66749487     0.66108462     -2.0133823
     0.27600000     0.66712147     0.66072076     -2.0137901
     0.27700000     0.66674173     0.66035057     -2.0141946
     0.27800000     0.66635574     0.65997411     -2.0145958
     0.27900000     0.66596353     0.65959145     -2.0149938
     0.28000000     0.66556519     0.65920265     -2.0153885
     0.28100000     0.66516076     0.65880776     -2.0157800
     0.28200000     0.66475032     0.65840686     -2.0161684
     0.28300000     0.66433391     0.65799999     -2.0165537
     0.28400000     0.66391160     0.65758723     -2.0169359
     0.28500000     0.66348345     0.65716862     -2.0173150
     0.28600000     0.66304951     0.65674422     -2.0176912
     0.28700000     0.66260985     0.65631410     -2.0180643
     0.28800000     0.66216452     0.65587831     -2.0184345
     0.28900000     0.66171357     0.65543691     -2.0188018
     0.29000000     0.66125707     0.65498995     -2.0191663
     0.29100000     0.66079507     0.65453748     -2.0195278
     0.29200000     0.66032761     0.65407957     -2.0198866
     0.29300000     0.65985477     0.65361626     -2.0202425
     0.29400000     0.65937658     0.65314762     -2.0205957
     0.29500000     0.65889311     0.65267369     -2.0209462
     0.29600000     0.65840440     0.65219452     -2.0212940
     0.29700000     0.65791051     0.65171017     -2.0216391
     0.29800000     0.65741149     0.65122070     -2.0219816
     0.29900000     0.65690740     0.65072614     -2.0223214
     0.30000000     0.65639827     0.65022655     -2.0226587
     0.30100000     0.65588416     0.64972199     -2.0229935
     0.30200000     0.65536513     0.64921249     -2.0233257
     0.30300000     0.65484121     0.64869812     -2.0236554
     0.30400000     0.65431247     0.64817891     -2.0239827
     0.30500000     0.65377894     0.64765492     -2.0243075
     0.30600000     0.65324067     0.64712620     -2.0246299
     0.30700000     0.65269772     0.64659278     -2.0249500
     0.30800000     0.65215012     0.64605473     -2.0252676
     0.30900000     0.65159793     0.64551207     -2.0255830
     0.31000000     0.65104118     0.64496487     -2.0258960
     0.31100000     0.65047994     0.64441316     -2.0262068
     0.31200000     0.64991423     0.64385700     -2.0265153
     0.31300000     0.64934410     0.64329641     -2.0268215
     0.31400000     0.64876961     0.64273146     -2.0271256
     0.31500000     0.64819078     0.64216217     -2.0274275
     0.31600000     0.64760768     0.64158861     -2.0277272
     0.31700000     0.64702032     0.64101079     -2.0280248
     0.31800000     0.64642877     0.64042878     -2.0283203
     0.31900000     0.64583306     0.63984261     -2.0286137
     0.32000000     0.64523323     0.63925232     -2.0289050
     0.32100000     0.64462933     0.63865796     -2.0291943
     0.32200000     0.64402139     0.63805956     -2.0294816
     0.32300000     0.64340946     0.63745717     -2.0297668
     0.32400000     0.64279357     0.63685081     -2.0300501
     0.32500000     0.64217376     0.63624055     -2.0303315
     0.32600000     0.64155007     0.63562640     -2.0306109
     0.32700000     0.64092255     0.63500842     -2.0308885
     0.32800000     0.64029123     0.63438663     -2.0311641
     0.32900000     0.63965614     0.63376109     -2.0314379
